"","s1","s2"
"325",-1099,2806
"326",-1077,2650
"327",-1115,2838
"328",-1055,2634
"329",-1059,2638
"330",-1095,2550
"331",-981,2278
"332",-1079,2550
"333",-999,2498
"334",-1081,2590
"335",-1001,2362
"336",-979,2222
"337",-1151,3058
"338",-1141,2866
"339",-1079,2590
"340",-1013,2454
"341",-1017,2494
"342",-927,2034
"343",-1017,2406
"344",-1091,2702
"345",-1049,2714
"346",-1037,2450
"347",-1019,2382
"348",-1039,2670
"349",-1085,2762
"350",-1073,2554
"351",-993,2550
"352",-1053,2634
"353",-1063,2670
"354",-1033,2446
"355",-1029,2658
"356",-1023,2426
"357",-1077,2674
"358",-1037,2734
"359",-1117,2678
"360",-1005,2430
"361",-1089,2626
"362",-1055,2462
"363",-1105,2634
"364",-1055,2538
"365",-1077,2606
"366",-1125,2838
"367",-1073,2414
"368",-1093,2718
"369",-1055,2802
"370",-1131,2950
"371",-1045,2698
"372",-1013,2506
"373",-1059,2366
"374",-1073,2562
"375",-1085,2878
"376",-1055,2622
"377",-1097,2698
"378",-1059,2654
"379",-1041,2570
"380",-1001,2406
"381",-1005,2490
"382",-981,2166
"383",-1075,2606
"384",-1015,2834
"385",-1039,2638
"386",-1097,2658
"387",-1133,2714
"388",-1141,2782
"389",-1081,2482
"390",-1043,2478
"391",-879,2246
"392",-1103,2718
"393",-1017,2402
"394",-1083,2738
"395",-1057,2634
"396",-953,2270
"397",-1091,2606
"398",-1015,2514
"399",-953,2374
"400",-1021,2606
"401",-999,2306
"402",-1105,2822
"403",-1061,2630
"404",-973,2270
"405",-1053,2366
"406",-1063,2554
"407",-1085,2674
"408",-1155,2898
"409",-1055,2546
"410",-1135,2754
"411",-1039,2554
"412",-997,2506
"413",-969,2522
"414",-1127,2906
"415",-973,2574
"416",-1129,2906
"417",-1079,2502
"418",-1129,2746
"419",-1107,2830
"420",-1079,2726
"421",-1075,2614
"422",-1057,2350
"423",-1013,2478
"424",-1051,2418
"425",-1117,2858
"426",-1025,2378
"427",-1073,2530
"428",-1049,2358
"429",-1039,2706
"430",-995,2414
"431",-1075,2682
"432",-1029,2394
"433",-1029,2622
"434",-1137,2946
"435",-1203,3138
"436",-1027,2454
"437",-993,2626
"438",-1055,2558
"439",-1037,2510
"440",-1015,2442
"441",-1071,2582
"442",-1031,2566
"443",-1133,2810
"444",-1031,2530
"445",-991,2546
"446",-1131,2862
"447",-1135,2826
"448",-1057,2574
"449",-979,2314
"450",-1017,2546
"451",-1053,2462
"452",-1113,2794
"453",-975,2234
"454",-1031,2382
"455",-1073,2662
"456",-1035,2382
"457",-1137,2774
"458",-1043,2462
"459",-1027,2414
"460",-1063,2582
"461",-1047,2474
"462",-959,2110
"463",-1063,2410
"464",-1043,2506
"465",-1055,2730
"466",-981,2418
"467",-1155,2798
"468",-1045,2570
"469",-1117,2814
"470",-1001,2422
"471",-1043,2670
"472",-1049,2366
"473",-1061,2674
"474",-1003,2406
"475",-1035,2498
