"","s1","s2"
"324",-1099,2822
"325",-1151,2914
"326",-1079,2710
"327",-1033,2550
"328",-1097,2706
"329",-1029,2374
"330",-1083,2670
"331",-963,2154
"332",-1161,2990
"333",-1089,2730
"334",-1119,2630
"335",-1099,2434
"336",-1063,2478
"337",-1061,2674
"338",-1067,2562
"339",-1033,2650
"340",-973,2434
"341",-1099,2734
"342",-1157,2890
"343",-991,2330
"344",-1129,2690
"345",-1063,2282
"346",-1051,2622
"347",-1077,2618
"348",-949,2242
"349",-1031,2478
"350",-1085,2382
"351",-1021,2298
"352",-989,2450
"353",-1031,2374
"354",-1219,3038
"355",-1071,2698
"356",-1067,2606
"357",-1097,2602
"358",-981,2190
"359",-1107,2666
"360",-979,2298
"361",-1087,2506
"362",-1065,2498
"363",-1097,2526
"364",-1009,2394
"365",-1079,2598
"366",-1103,2966
"367",-1121,2642
"368",-1203,2982
"369",-1137,2858
"370",-1023,2554
"371",-1101,2494
"372",-1085,2798
"373",-1061,2610
"374",-1061,2642
"375",-1063,2438
"376",-1041,2338
"377",-1099,2494
"378",-1019,2550
"379",-1111,2694
"380",-1061,2566
"381",-1073,2570
"382",-1031,2570
"383",-1077,2498
"384",-1167,2958
"385",-1035,2322
"386",-1133,2774
"387",-983,2258
"388",-1043,2478
"389",-1087,2478
"390",-1031,2370
"391",-995,2194
"392",-1185,2850
"393",-933,1918
"394",-1067,2786
"395",-1019,2326
"396",-1099,2858
"397",-1101,2566
"398",-1141,2558
"399",-1119,2746
"400",-1001,2466
"401",-1017,2586
"402",-1115,2766
"403",-1073,2598
"404",-1015,2534
"405",-1039,2558
"406",-1083,2726
"407",-1111,2614
"408",-1021,2482
"409",-1079,2750
"410",-1087,2898
"411",-967,2230
"412",-1071,2658
"413",-1043,2386
"414",-991,2466
"415",-1015,2394
"416",-1187,3030
"417",-1059,2458
"418",-945,2294
"419",-1067,2542
"420",-927,2314
"421",-1049,2614
"422",-971,2442
"423",-1073,2590
"424",-1165,2890
"425",-1069,2634
"426",-1083,2474
"427",-1073,2778
"428",-1025,2634
"429",-1157,2742
"430",-997,2354
"431",-1107,2606
"432",-1037,2318
"433",-1149,2674
"434",-1075,2630
"435",-1079,2538
"436",-1059,2246
"437",-1093,2646
"438",-1067,2454
"439",-1073,2610
"440",-1009,2498
"441",-1065,2558
"442",-1111,2686
"443",-1063,2422
"444",-1051,2346
"445",-1161,2818
"446",-1039,2474
"447",-1029,2390
"448",-1059,2430
"449",-1057,2462
"450",-1073,2478
"451",-1129,2822
"452",-979,2418
"453",-1033,2482
"454",-1123,2750
"455",-877,1990
"456",-977,2198
"457",-975,2222
"458",-1147,3046
"459",-1059,2382
"460",-1083,2518
"461",-991,2270
"462",-1079,2506
"463",-1019,2234
"464",-1023,2198
"465",-1051,2666
"466",-1039,2558
"467",-1077,2558
"468",-1077,2682
"469",-1135,2714
"470",-1029,2190
"471",-1063,2402
"472",-1065,2394
"473",-1069,2714
"474",-1023,2518
"475",-957,2230
"476",-1065,2598
"477",-1093,2602
"478",-1135,2910
"479",-1051,2682
"480",-1009,2142
"481",-1127,2702
"482",-1009,2426
"483",-1087,2858
"484",-1145,2758
"485",-1101,2626
"486",-993,2166
"487",-1073,2546
"488",-1027,2402
"489",-1025,2426
"490",-1095,2734
"491",-1031,2506
"492",-1127,2790
"493",-1031,2354
"494",-1091,2734
"495",-1061,2502
"496",-951,2074
"497",-1049,2486
"498",-1029,2258
"499",-1093,2418
"500",-977,2262
"501",-1109,2722
"502",-1077,2542
"503",-987,2390
"504",-1071,2402
"505",-1075,2530
"506",-1073,2758
"507",-1049,2534
"508",-1097,2450
"509",-1139,2838
"510",-1083,2826
"511",-1115,2674
"512",-1063,2670
"513",-1075,2694
"514",-1121,2718
"515",-1053,2558
"516",-1045,2474
"517",-1045,2438
"518",-1035,2690
"519",-1073,2562
"520",-1037,2346
"521",-1087,2694
"522",-1071,2454
"523",-1117,2790
"524",-1067,2514
"525",-1095,2578
"526",-1119,2706
"527",-1109,2746
"528",-1085,2526
"529",-997,2422
"530",-1161,2682
"531",-1167,2794
"532",-1141,2810
"533",-1117,2494
"534",-1089,2810
"535",-1061,2402
"536",-1083,2802
"537",-1103,2446
"538",-1105,2586
"539",-979,2226
"540",-1091,2646
"541",-1045,2326
"542",-1055,2338
"543",-1063,2666
"544",-1089,2826
"545",-1027,2462
"546",-1037,2638
"547",-1033,2570
"548",-1119,2562
"549",-993,2558
"550",-1005,2170
"551",-1053,2482
"552",-1035,2422
"553",-1011,2286
"554",-1069,2714
"555",-1159,3034
"556",-1021,2434
"557",-1051,2730
"558",-967,1838
"559",-1099,2650
"560",-1069,2574
"561",-1081,2498
"562",-977,2146
"563",-1129,2962
"564",-1039,2186
"565",-1021,2306
"566",-1075,2570
"567",-1117,2850
"568",-1071,2446
"569",-1057,2462
"570",-1177,3014
"571",-1089,2710
"572",-1059,2558
"573",-1121,2726
"574",-1007,2414
"575",-1023,2518
"576",-1037,2334
"577",-1041,2334
"578",-999,2318
"579",-1019,2486
"580",-1145,2922
"581",-1055,2566
"582",-1109,2590
"583",-1079,2514
"584",-1031,2494
"585",-1083,2518
"586",-1039,2434
"587",-1033,2518
"588",-1025,2434
"589",-1113,2646
"590",-1041,2586
"591",-1109,2622
"592",-1069,2594
"593",-1045,2482
"594",-1021,2226
"595",-1023,2418
"596",-1051,2538
"597",-1099,2698
"598",-1135,2850
"599",-1033,2386
"600",-1125,2594
"601",-1029,2550
"602",-1037,2442
"603",-1099,2722
"604",-1101,2542
"605",-1049,2602
"606",-1107,2714
"607",-1123,2782
"608",-1061,2502
"609",-1111,2666
"610",-1095,2610
"611",-979,2398
"612",-1043,2394
"613",-1067,2466
"614",-1055,2622
"615",-1055,2318
"616",-1059,2658
"617",-1001,2390
"618",-947,2290
"619",-1093,2502
"620",-1013,2270
"621",-1069,2722
"622",-1037,2598
"623",-1067,2494
"624",-1075,2590
"625",-1149,2586
"626",-1143,2858
"627",-1091,2518
"628",-1059,2494
"629",-1075,2506
"630",-1047,2450
"631",-999,2342
"632",-1077,2598
"633",-1001,2254
"634",-1161,3038
"635",-1011,2038
"636",-1007,2330
"637",-1083,2634
"638",-1015,2250
