"","s1","s2"
"323",-1101,2626
"324",-1085,2638
"325",-1057,2598
"326",-997,2382
"327",-1011,2554
"328",-1033,2338
"329",-1059,2666
"330",-1095,2758
"331",-1087,2510
"332",-995,2502
"333",-1031,2638
"334",-1025,2582
"335",-1081,2686
"336",-1089,2730
"337",-1105,2582
"338",-1183,2902
"339",-1121,2890
"340",-965,2282
"341",-1107,2706
"342",-987,2462
"343",-1019,2386
"344",-1147,2962
"345",-1045,2690
"346",-945,2210
"347",-1039,2458
"348",-989,2634
"349",-1161,2746
"350",-1191,3394
"351",-1101,2654
"352",-1063,2498
"353",-1133,2830
"354",-1059,2526
"355",-1155,2866
"356",-1077,2574
"357",-1179,3038
"358",-1087,2866
"359",-1081,2614
"360",-1049,2634
"361",-1083,2510
"362",-1079,2686
"363",-1125,2822
"364",-1077,2762
"365",-1007,2526
"366",-1053,2494
"367",-1083,2794
"368",-1019,2674
"369",-1039,2354
"370",-1099,2690
"371",-1113,2854
"372",-993,2494
"373",-1141,2914
"374",-1003,2454
"375",-1107,2634
"376",-1083,2594
"377",-975,2166
"378",-1063,2654
"379",-1021,2466
"380",-1017,2554
"381",-997,2434
"382",-1085,2594
"383",-1097,2906
"384",-999,2326
"385",-977,2506
"386",-1059,2626
"387",-1071,2690
"388",-1053,2774
"389",-1193,3074
"390",-1125,2806
"391",-1089,2626
"392",-1087,2814
"393",-997,2442
"394",-1127,2906
"395",-1055,2554
"396",-1109,2526
"397",-1105,2850
"398",-1165,2866
"399",-1065,2678
"400",-1119,2750
"401",-1041,2574
"402",-1041,2554
"403",-1033,2578
"404",-1021,2482
"405",-977,2418
"406",-1115,2738
"407",-1087,2578
"408",-1177,2886
"409",-1079,2534
"410",-1073,2454
"411",-1009,2434
"412",-1073,2754
"413",-987,2142
"414",-955,2118
"415",-1015,2650
"416",-1053,2534
"417",-1019,2610
"418",-1069,2626
"419",-1083,2698
"420",-1069,2602
"421",-1093,2726
"422",-1153,3014
"423",-1053,2466
"424",-1007,2498
"425",-1039,2574
"426",-1029,2554
"427",-985,2682
"428",-1113,2714
"429",-1083,2678
"430",-1057,2686
"431",-1089,2710
"432",-1051,2510
"433",-1081,2490
"434",-987,2422
"435",-1091,2794
"436",-1119,2770
"437",-1055,2854
"438",-1051,2486
"439",-997,2350
"440",-1067,2554
"441",-1025,2410
"442",-1011,2394
"443",-1067,2802
"444",-1085,2634
"445",-1101,2714
"446",-1053,2710
"447",-1145,2874
"448",-1025,2546
"449",-1073,2726
"450",-951,2438
"451",-1143,2690
"452",-1051,2650
"453",-971,2382
"454",-1123,2742
"455",-991,2466
"456",-1071,2714
"457",-973,2382
"458",-1075,2478
"459",-1071,2442
"460",-1017,2502
"461",-971,2438
"462",-1097,2914
"463",-1093,2486
"464",-1101,2678
"465",-1085,2782
"466",-1129,2654
"467",-1055,2610
"468",-989,2554
"469",-1069,2722
"470",-1063,2530
"471",-1007,2558
"472",-1077,2566
"473",-1045,2466
"474",-1081,2738
"475",-995,2562
"476",-1097,2398
"477",-1091,2770
"478",-1019,2290
"479",-1073,2806
"480",-1061,2630
"481",-1027,2526
